"restaurant_id"	"category_id"
2313	3
2313	38
10054	30
71619	34
21259	14
21259	24
21259	35
1790	3
1790	30
3611	34
3611	38
5281	14
5281	19
5290	3
5290	23
5342	3
5342	24
5345	3
5746	3
5746	30
5746	38
8100	3
8100	29
8100	38
8446	8
9067	24
9067	39
10289	3
12272	7
12272	36
13959	3
13959	5
15976	36
15976	40
17953	14
22015	30
23836	30
23836	36
26277	3
26277	44
69101	30
70884	37
124294	3
124294	14
124294	21
124636	14
133674	25
149430	14
149430	21
157898	14
733	29
1769	14
1769	24
1769	38
9577	30
9577	36
9713	3
9713	29
9713	38
13283	3
13283	34
13283	38
22302	2
27645	3
64988	4
119358	3
120715	6
120715	38
526	3
526	34
1934	6
3028	3
3028	15
3028	32
5425	5
5517	23
5517	24
5829	29
10921	3
10921	35
10921	38
10934	5
12655	3
12655	29
13641	14
13641	24
13641	25
13948	4
13948	20
14527	14
14527	24
14527	33
15730	30
17154	3
17154	32
18745	5
18745	42
19734	4
19734	29
19734	38
21204	3
21204	4
21204	30
21204	36
26722	6
26722	38
27080	3
27080	14
27080	32
103551	3
103551	21
103551	24
103551	35
120242	3
121120	30
122219	2
122874	24
122874	33
122874	39
123979	23
124229	14
124229	24
124229	38
133151	29
134000	13
134000	14
134000	24
134907	13
134907	22
134907	38
135861	13
136018	33
136018	37
141944	13
141944	26
141944	53
145362	2
145362	20
145362	43
152830	2
152830	38
152830	50
159001	4
159001	26
164604	2
164604	45
715	3
715	29
6409	3
6409	34
8654	28
8654	38
9757	14
9757	24
9757	38
12643	3
12643	29
119893	14
119893	24
134797	2
134797	6
134797	50
141121	10
187584	43
1527	3
12358	4
12358	30
120578	2
120578	3
120578	4
120578	13
8617	3
8617	30
8669	4
9663	3
9663	34
24153	34
28521	13
173615	14
173615	24
126062	6
126062	43
26576	30
1880	4
1880	38
2857	2
2947	2
2947	38
3885	14
3885	24
3885	33
5179	4
5179	26
6514	3
6514	34
6680	3
6680	13
10158	14
10158	24
10158	38
10189	3
10189	4
10189	29
10866	2
10866	50
12314	3
14917	22
14917	33
24329	2
24329	30
26154	2
26306	2
26306	38
26512	2
26512	30
64807	36
66957	3
71654	2
71654	30
122086	50
122938	33
122938	35
122938	38
124701	2
124701	50
124995	4
125326	2
125326	14
125326	23
175222	3
175222	14
175222	33
9403	29
156445	14
156445	19
156445	24
16861	3
916	29
12061	34
13538	5
13538	8
13538	35
15336	3
16201	15
16201	26
26113	2
26113	38
26113	45
42746	26
44329	26
110528	3
115877	29
118168	8
118168	35
119948	21
119948	24
131057	2
131057	45
938	3
6187	2
195565	34
1786	3
1786	33
1786	38
8373	29
3496	3
3496	34
9776	30
9776	38
12160	3
12160	34
12160	38
107626	29
136828	3
136828	30
136828	36
140993	6
140993	38
1486	30
3796	33
139181	2
139181	45
15163	21
15163	35
122319	4
160474	3
160474	29
119042	3
119042	14
119042	38
177847	300
217167	2
217167	45
12696	3
12696	4
12696	5
21576	33
21576	35
164194	11
164194	20
164194	38
42976	26
180438	14
180438	24
11795	14
11795	21
11795	25
2199	3
2199	34
10284	20
18276	30
24520	6
25123	6
79963	30
119031	2
126298	14
126298	24
126298	38
130890	3
149465	13
149465	35
159430	6
159430	43
164038	4
164038	24
177323	300
177323	302
177736	20
177810	2
177810	20
192927	20
208302	20
208302	30
208302	38
215506	14
154058	5
154058	13
154058	14
241762	3
98	2
98	45
1543	3
1830	3
1830	27
1917	2
1917	11
2012	3
2012	24
2012	38
3393	3
3393	4
3488	4
3495	2
3495	38
3495	45
3498	4
8808	2
8808	38
8995	3
8995	30
8995	38
9177	12
9177	43
11596	24
14645	13
14645	26
14645	33
15072	5
15072	14
17360	29
20487	25
21993	4
27041	39
27414	3
27414	4
27414	15
27414	18
27414	36
63300	4
118381	2
118381	11
118381	38
130678	4
130678	38
138789	7
152248	13
152248	14
152248	24
191823	2
10773	20
10773	36
18157	29
55397	14
55397	24
131630	2
192971	5
192971	13
192971	35
212584	14
212584	19
212584	24
305	13
305	14
305	24
2622	29
2622	34
9045	3
9045	49
10958	3
10958	4
10958	36
11079	25
11500	21
11500	23
11500	30
11500	36
11655	8
11655	35
14459	12
14459	23
18658	3
19859	3
19859	38
19989	4
20900	2
20900	11
20900	43
21244	19
21244	23
21244	36
21604	3
22258	3
22258	32
23711	7
23711	38
24602	4
24602	19
24602	36
36580	14
37343	14
37343	21
77531	3
102539	3
121017	21
121017	30
121017	36
128704	30
128704	50
130398	2
134991	19
134991	44
136203	3
136203	34
136402	28
141036	14
146528	3
146528	30
149135	24
149135	38
149318	2
149320	2
149320	45
151661	7
151978	14
151978	15
153320	14
153320	24
154409	6
154409	28
154409	38
164424	15
164424	17
164424	33
175485	2
175485	45
182593	23
182593	24
182593	51
188290	3
188290	35
188290	42
192197	14
198952	49
216904	4
216904	20
218773	13
228111	23
228111	24
3538	38
3538	50
7663	41
7783	27
7783	39
119966	3
119966	32
131104	13
131104	15
131104	33
128296	4
128296	26
211755	3
211755	13
211755	14
845	3
845	29
2239	30
2967	2
3031	29
3031	33
3031	38
3535	3
3535	36
3579	30
4022	2
4116	3
4116	4
4116	34
4718	14
4718	38
4726	14
6118	14
6118	21
6118	38
7956	4
7956	20
7956	38
8281	2
8281	38
8432	2
8432	43
8459	3
