"id"	"reviewer_id"	"reviewed_item_id"	"review_id"	"updated_time"	"creation_time"	"rating"
20501	59	3075	685737	"2016-06-29 12:21:49"	"2016-06-29 12:21:49"	3
2897	1846	231730	645350	"2016-04-23 16:55:41"	"2016-04-23 16:55:41"	5
1729	2561	133574	0	"2016-04-16 19:29:12"	"2016-04-16 19:29:12"	4
4861	4035	217698	0	"2016-05-04 15:19:27"	"2016-05-04 15:19:27"	4
21228	5148	180391	686765	"2016-07-01 13:54:56"	"2016-07-01 13:54:56"	5
3725	5517	232229	648368	"2016-04-28 21:21:34"	"2016-04-28 21:21:34"	5
23370	5729	11654	689554	"2016-07-05 21:59:22"	"2016-07-05 21:59:22"	5
32238	5729	241762	699321	"2016-07-20 17:49:52"	"2016-07-20 17:49:52"	4
13411	6143	216909	674750	"2016-06-11 21:33:32"	"2016-06-11 21:33:32"	3
13380	6143	236895	674735	"2016-06-11 20:20:38"	"2016-06-11 20:20:38"	5
1163	6741	128296	0	"2016-04-14 16:24:42"	"2016-04-14 16:24:42"	5
20364	6968	216972	685554	"2016-06-28 22:53:31"	"2016-06-28 22:53:31"	5
21001	7573	239377	0	"2016-06-30 20:11:03"	"2016-06-30 20:11:03"	5
10700	14304	162	668379	"2016-05-31 21:00:37"	"2016-05-31 21:00:24"	3
10559	14304	5098	0	"2016-05-30 23:55:49"	"2016-05-30 23:55:46"	4
26809	14304	11974	693347	"2016-07-12 10:20:04"	"2016-07-12 10:20:04"	1
26644	14304	20302	693181	"2016-07-11 20:46:46"	"2016-07-11 20:46:46"	3
11792	14304	21865	671667	"2016-06-06 14:00:41"	"2016-06-06 13:52:55"	2
10560	14304	69256	667983	"2016-05-30 23:59:18"	"2016-05-30 23:59:16"	4
12161	14304	154878	672474	"2016-06-07 22:10:38"	"2016-06-07 22:10:38"	1
8422	14304	156783	661594	"2016-05-21 11:00:44"	"2016-05-21 11:00:23"	4
11781	14304	163671	671640	"2016-06-06 13:13:54"	"2016-06-06 13:12:02"	2
14507	14304	185500	676721	"2016-06-14 19:59:22"	"2016-06-14 19:59:22"	1
10588	14304	191597	668091	"2016-05-31 11:46:40"	"2016-05-31 11:46:39"	3
10578	14304	191685	668048	"2016-05-31 09:25:07"	"2016-05-31 09:25:05"	4
11756	14304	215407	671563	"2016-06-06 09:59:11"	"2016-06-06 09:59:11"	1
12283	14304	224892	672739	"2016-06-08 13:17:40"	"2016-06-08 13:17:40"	1
11226	14304	226193	669997	"2016-06-04 09:25:18"	"2016-06-04 09:25:16"	3
11051	14304	233112	669433	"2016-06-02 23:21:46"	"2016-06-02 23:21:44"	4
7682	14304	233990	662420	"2016-05-17 12:43:03"	"2016-05-17 12:43:00"	3
18985	14304	238894	0	"2016-06-26 09:19:37"	"2016-06-26 09:19:34"	1
36351	14304	242358	0	"2016-07-25 19:53:40"	"2016-07-25 19:53:14"	1
6270	14508	7744	0	"2016-05-10 00:02:42"	"2016-05-10 00:02:42"	4
32337	14969	381	0	"2016-07-20 19:07:20"	"2016-07-20 19:07:20"	3
35831	14969	3832	0	"2016-07-24 22:32:14"	"2016-07-24 22:32:14"	4
35829	14969	5281	0	"2016-07-24 22:32:05"	"2016-07-24 22:32:05"	5
35832	14969	7644	0	"2016-07-24 22:32:16"	"2016-07-24 22:32:16"	4
35833	14969	8220	0	"2016-07-24 22:32:18"	"2016-07-24 22:32:18"	4
35834	14969	9806	0	"2016-07-24 22:32:20"	"2016-07-24 22:32:20"	3
35835	14969	12798	0	"2016-07-24 22:32:22"	"2016-07-24 22:32:22"	3
35836	14969	13135	0	"2016-07-24 22:32:25"	"2016-07-24 22:32:25"	3
35837	14969	14697	0	"2016-07-24 22:32:30"	"2016-07-24 22:32:30"	4
35838	14969	19214	0	"2016-07-24 22:32:33"	"2016-07-24 22:32:33"	3
35839	14969	26555	0	"2016-07-24 22:32:36"	"2016-07-24 22:32:36"	3
35828	14969	105569	0	"2016-07-24 22:31:53"	"2016-07-24 22:31:53"	3
35840	14969	120769	0	"2016-07-24 22:32:40"	"2016-07-24 22:32:40"	3
35830	14969	144231	0	"2016-07-24 22:32:11"	"2016-07-24 22:32:11"	3
35827	14969	151214	0	"2016-07-24 22:31:50"	"2016-07-24 22:31:50"	4
32334	14969	191077	699390	"2016-07-20 19:03:39"	"2016-07-20 19:03:39"	3
30999	14969	202477	0	"2016-07-19 11:57:04"	"2016-07-19 11:57:04"	3
35826	14969	206895	0	"2016-07-24 22:31:44"	"2016-07-24 22:31:44"	3
14685	15664	15388	0	"2016-06-15 13:21:53"	"2016-06-15 13:21:53"	4
7141	16371	208540	657636	"2016-05-14 21:36:23"	"2016-05-14 21:36:23"	1
12072	16921	236535	0	"2016-06-07 16:18:04"	"2016-06-07 16:18:04"	5
13405	17636	151435	674743	"2016-06-11 21:20:33"	"2016-06-11 21:20:33"	5
1153	18075	26900	0	"2016-04-14 16:07:42"	"2016-04-14 16:07:42"	1
31858	18075	147387	698940	"2016-07-20 09:18:22"	"2016-07-20 09:18:16"	3
7051	18075	198053	657421	"2016-05-14 15:36:45"	"2016-05-14 15:36:45"	5
15258	18242	18579	677854	"2016-06-17 00:03:54"	"2016-06-17 00:03:54"	5
15217	18242	232633	677786	"2016-06-16 22:17:26"	"2016-06-16 22:17:26"	5
18	20727	26390	0	"2016-03-27 16:19:37"	"2016-03-27 16:19:37"	5
17	20727	159188	0	"2016-04-20 22:36:10"	"2016-03-27 16:18:42"	5
2122	22104	10313	642271	"2016-04-18 15:05:44"	"2016-04-18 15:05:44"	4
2127	22104	14265	642292	"2016-04-18 15:35:01"	"2016-04-18 15:35:01"	4
31255	22104	220320	698383	"2016-07-19 15:16:00"	"2016-07-19 15:16:00"	4
29770	23029	8795	696726	"2016-07-17 18:55:18"	"2016-07-17 18:55:18"	1
9478	23211	26126	0	"2016-05-25 19:51:39"	"2016-05-25 19:51:39"	3
7651	23684	208344	0	"2016-05-17 10:19:54"	"2016-05-17 10:19:54"	5
34324	25365	210698	701116	"2016-07-23 13:45:46"	"2016-07-23 13:45:46"	5
33785	25645	8838	0	"2016-07-22 18:57:34"	"2016-07-22 18:57:34"	4
33784	25645	205355	0	"2016-07-22 18:57:30"	"2016-07-22 18:57:29"	4
22438	25775	58274	0	"2016-07-03 19:10:26"	"2016-07-03 19:10:26"	5
26869	25859	11483	0	"2016-07-12 12:40:57"	"2016-07-12 12:40:46"	5
34564	30348	144827	701358	"2016-07-23 19:10:21"	"2016-07-23 19:10:21"	4
19217	30348	183868	692921	"2016-06-26 15:41:52"	"2016-06-26 15:41:44"	1
19298	30348	204185	0	"2016-06-26 17:46:33"	"2016-06-26 17:46:33"	3
11861	30348	206854	0	"2016-06-06 19:23:19"	"2016-06-06 19:23:19"	1
32379	31009	202269	699442	"2016-07-20 20:07:12"	"2016-07-20 20:07:12"	4
24383	31430	240240	690759	"2016-07-08 12:00:18"	"2016-07-08 12:00:18"	5
15553	33025	210812	0	"2016-06-17 21:18:03"	"2016-06-17 21:18:03"	5
15554	33025	223725	678305	"2016-06-17 21:18:28"	"2016-06-17 21:18:28"	5
3878	33227	162476	0	"2016-04-30 01:26:55"	"2016-04-30 01:26:53"	5
7372	33227	176801	0	"2016-05-15 18:47:24"	"2016-05-15 18:47:24"	5
10663	33377	212217	0	"2016-05-31 18:23:38"	"2016-05-31 18:23:38"	4
14512	33843	71040	0	"2016-06-14 20:06:22"	"2016-06-14 20:06:22"	5
31573	34154	8361	698647	"2016-07-19 20:19:04"	"2016-07-19 20:19:04"	5
31582	34154	164918	698673	"2016-07-19 20:28:24"	"2016-07-19 20:28:24"	4
24483	34159	237479	0	"2016-07-08 16:31:33"	"2016-07-08 16:31:33"	5
33005	34211	10705	0	"2016-07-21 17:39:37"	"2016-07-21 17:06:36"	5
5508	34211	233032	0	"2016-05-06 21:05:31"	"2016-05-06 21:05:31"	5
19866	34263	221765	684905	"2016-06-27 19:42:13"	"2016-06-27 19:42:13"	5
26511	34271	218532	692997	"2016-07-11 16:14:27"	"2016-07-11 16:14:27"	4
1351	35316	10219	644977	"2016-04-15 12:41:03"	"2016-04-15 12:41:03"	5
28268	35316	188418	694948	"2016-07-15 11:32:24"	"2016-07-15 11:32:24"	4
367	35316	214041	0	"2016-04-09 07:11:21"	"2016-04-09 07:11:21"	4
32295	36672	204046	0	"2016-07-20 18:28:57"	"2016-07-20 18:28:57"	4
